(,,)
(2015,1,2.157)
(2015,1,2.133)
(2015,2,2.154)
(2015,2,2.276)
(2015,2,2.358)
(2015,2,2.415)
(2015,3,2.556)
(2015,3,2.57)
(2015,3,2.537)
(2015,3,2.538)
(2015,3,2.531)
(2015,4,2.499)
(2015,4,2.494)
(2015,4,2.57)
(2015,4,2.656)
(2015,5,2.749)
(2015,5,2.776)
(2015,5,2.827)
(2015,5,2.857)
(2015,6,2.863)
(2015,6,2.863)
(2015,6,2.918)
(2015,6,2.895)
(2015,6,2.885)
(2015,7,2.877)
(2015,7,2.92)
(2015,7,2.888)
(2015,7,2.833)
(2015,8,2.779)
(2015,8,2.72)
(2015,8,2.803)
(2015,8,2.726)
(2015,8,2.602)
(2015,9,2.532)
(2015,9,2.471)
(2015,9,2.425)
(2015,9,2.418)
(2015,10,2.415)
(2015,10,2.432)
(2015,10,2.374)
(2015,10,2.326)
(2015,11,2.322)
(2015,11,2.335)
(2015,11,2.281)
(2015,11,2.198)
(2015,11,2.165)
(2015,12,2.159)
(2015,12,2.144)
(2015,12,2.133)
(2015,12,2.141)
(2016,1,2.135)
(2016,1,2.104)
(2016,1,2.022)
(2016,1,1.965)
(2016,2,1.932)
(2016,2,1.87)
(2016,2,1.834)
(2016,2,1.837)
(2016,2,1.887)
(2016,3,1.943)
(2016,3,2.062)
(2016,3,2.109)
(2016,3,2.169)
(2016,4,2.185)
(2016,4,2.173)
(2016,4,2.24)
(2016,4,2.265)
(,,)
(,,)
(,,)
